Album, Artist
Shawn Mendes,Shawn Mendes
beerbongs & bentleys,Post Malone
DAYTONA,Pusha T
Testing,A$AP Rocky
Invasion Of Privacy,Cardi B
Love Yourself: Tear,BTS
Harder Than Ever,Lil Baby
Goodbye & Good Riddance,Juice WRLD
The Greatest Showman,Soundtrack
KOD,J. Cole
Love Is Dead,CHVRCHES
Stoney,Post Malone
Black Panther: The Album Music From And Inspired By,Soundtrack
Culture II,Migos
Vibras,J Balvin
÷ (Divide),Ed Sheeran
Evolve,Imagine Dragons
reputation,Taylor Swift
?,XXXTENTACION
And Justice For None,Five Finger Death Punch
Die Lit,Playboi Carti
American Teen,Khalid
Kane Brown,Kane Brown
Reckless,NAV
SR3MM,Rae Sremmurd, Swae Lee & Slim Jxmmi
DAMN.,Kendrick Lamar
Rearview Town,Jason Aldean
Hamilton: An American Musical,Original Broadway Cast Recording
13 Reasons Why Season 2,Soundtrack
The World Is Yours,Rich The Kid
Camila,Camila Cabello
Cosmic,Bazzi
My Dear Melancholy (EP),The Weeknd
Voicenotes,Charlie Puth
Luv Is Rage 2,Lil Uzi Vert
Until Death Call My Name,YoungBoy Never Broke Again
Life Of A Dark Rose,Lil Skies
Red Pill Blues,Maroon 5
This One's For You,Luke Combs
More Life,Drake
Simi,BlocBoy JB
Ctrl,SZA
Views,Drake
Activated,Tee Grizzley
Life Changes,Thomas Rhett
24K Magic,Bruno Mars
Dua Lipa,Dua Lipa
Deadpool 2,Soundtrack
Wildness,Snow Patrol
Greatest Hits,Queen
The Essential Michael Jackson,Michael Jackson
Traveller,Chris Stapleton
Odisea,Ozuna
17,XXXTENTACION
DAY69,6ix9ine
Light Of Mine,KYLE
Bobby Tarantino II,Logic
All Your Fault Pt. 2 (EP),Bebe Rexha
hopeless fountain kingdom,Halsey
Dex Meets Dexter,Famous Dex
Solo: A Star Wars Story,Soundtrack
Ready (EP),Ella Mai
Take Care,Drake
Starboy,The Weeknd
Brett Young,Brett Young
Heartbreak On A Full Moon,Chris Brown
Black Labyrinth,Jonathan Davis
Without Warning,21 Savage, Offset & Metro Boomin
Moana,Soundtrack
Graffiti U,Keith Urban
The Beautiful & Damned,G-Eazy
Curtain Call: The Hits,Eminem
Speak Your Mind,Anne-Marie
Project Baby Two,Kodak Black
The Thrill Of It All,Sam Smith
Tell Me You Love Me,Demi Lovato
